run_id,scenario_id,base_scenario_id,run_id_prefix,phase,geometry_id,density_id,velocity_id,D_m,L_m,L_over_D,penetration_m,penetration_over_D,penetration_over_L,ID_percent,velocity_m_per_s,v_over_v0,S,rho_scale,gravity_scale,pile_type,soil_model,mc_density,mc_E,mc_nu,mc_phi,mc_psi,mc_cohesion,mc_plastic_strain,void_ratio_mode,void_ratio_formula,void_ratio_e_min,void_ratio_e_max,use_reference_void_profile,void_ratio_soil_void,void_ratio_upper_layer,void_ratio_down_layer,symmetry_factor,run_dir,input_file,case_config_file,odb_file,sta_file,postprocess_csv,resampled_csv,status
MC_G0_D045_DENS_LOW_V_LOW_S007,MC_G0_D045_DENS_LOW_V_LOW,G0_D045_DENS_LOW_V_LOW,MC,full_mohr_coulomb,G0,DENS_LOW,V_LOW,0.45,11,24.4444444444,9,20,0.818181818182,30,0.25,0.5,7,7,0.142857142857,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S007,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S007\MC_G0_D045_DENS_LOW_V_LOW_S007.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S007\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S007\MC_G0_D045_DENS_LOW_V_LOW_S007.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S007\MC_G0_D045_DENS_LOW_V_LOW_S007.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_LOW_S007.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_LOW_S007.csv,planned
MC_G0_D045_DENS_LOW_V_LOW_S015,MC_G0_D045_DENS_LOW_V_LOW,G0_D045_DENS_LOW_V_LOW,MC,full_mohr_coulomb,G0,DENS_LOW,V_LOW,0.45,11,24.4444444444,9,20,0.818181818182,30,0.25,0.5,15,15,0.0666666666667,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S015,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S015\MC_G0_D045_DENS_LOW_V_LOW_S015.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S015\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S015\MC_G0_D045_DENS_LOW_V_LOW_S015.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S015\MC_G0_D045_DENS_LOW_V_LOW_S015.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_LOW_S015.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_LOW_S015.csv,planned
MC_G0_D045_DENS_LOW_V_LOW_S030,MC_G0_D045_DENS_LOW_V_LOW,G0_D045_DENS_LOW_V_LOW,MC,full_mohr_coulomb,G0,DENS_LOW,V_LOW,0.45,11,24.4444444444,9,20,0.818181818182,30,0.25,0.5,30,30,0.0333333333333,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S030,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S030\MC_G0_D045_DENS_LOW_V_LOW_S030.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S030\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S030\MC_G0_D045_DENS_LOW_V_LOW_S030.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S030\MC_G0_D045_DENS_LOW_V_LOW_S030.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_LOW_S030.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_LOW_S030.csv,planned
MC_G0_D045_DENS_LOW_V_LOW_S050,MC_G0_D045_DENS_LOW_V_LOW,G0_D045_DENS_LOW_V_LOW,MC,full_mohr_coulomb,G0,DENS_LOW,V_LOW,0.45,11,24.4444444444,9,20,0.818181818182,30,0.25,0.5,50,50,0.02,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S050,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S050\MC_G0_D045_DENS_LOW_V_LOW_S050.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S050\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S050\MC_G0_D045_DENS_LOW_V_LOW_S050.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S050\MC_G0_D045_DENS_LOW_V_LOW_S050.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_LOW_S050.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_LOW_S050.csv,planned
MC_G0_D045_DENS_LOW_V_LOW_S100,MC_G0_D045_DENS_LOW_V_LOW,G0_D045_DENS_LOW_V_LOW,MC,full_mohr_coulomb,G0,DENS_LOW,V_LOW,0.45,11,24.4444444444,9,20,0.818181818182,30,0.25,0.5,100,100,0.01,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S100,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S100\MC_G0_D045_DENS_LOW_V_LOW_S100.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S100\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S100\MC_G0_D045_DENS_LOW_V_LOW_S100.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_LOW_S100\MC_G0_D045_DENS_LOW_V_LOW_S100.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_LOW_S100.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_LOW_S100.csv,planned
MC_G0_D045_DENS_LOW_V_REF_S007,MC_G0_D045_DENS_LOW_V_REF,G0_D045_DENS_LOW_V_REF,MC,full_mohr_coulomb,G0,DENS_LOW,V_REF,0.45,11,24.4444444444,9,20,0.818181818182,30,0.5,1,7,7,0.142857142857,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S007,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S007\MC_G0_D045_DENS_LOW_V_REF_S007.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S007\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S007\MC_G0_D045_DENS_LOW_V_REF_S007.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S007\MC_G0_D045_DENS_LOW_V_REF_S007.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_REF_S007.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_REF_S007.csv,planned
MC_G0_D045_DENS_LOW_V_REF_S015,MC_G0_D045_DENS_LOW_V_REF,G0_D045_DENS_LOW_V_REF,MC,full_mohr_coulomb,G0,DENS_LOW,V_REF,0.45,11,24.4444444444,9,20,0.818181818182,30,0.5,1,15,15,0.0666666666667,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S015,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S015\MC_G0_D045_DENS_LOW_V_REF_S015.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S015\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S015\MC_G0_D045_DENS_LOW_V_REF_S015.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S015\MC_G0_D045_DENS_LOW_V_REF_S015.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_REF_S015.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_REF_S015.csv,planned
MC_G0_D045_DENS_LOW_V_REF_S030,MC_G0_D045_DENS_LOW_V_REF,G0_D045_DENS_LOW_V_REF,MC,full_mohr_coulomb,G0,DENS_LOW,V_REF,0.45,11,24.4444444444,9,20,0.818181818182,30,0.5,1,30,30,0.0333333333333,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S030,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S030\MC_G0_D045_DENS_LOW_V_REF_S030.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S030\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S030\MC_G0_D045_DENS_LOW_V_REF_S030.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S030\MC_G0_D045_DENS_LOW_V_REF_S030.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_REF_S030.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_REF_S030.csv,planned
MC_G0_D045_DENS_LOW_V_REF_S050,MC_G0_D045_DENS_LOW_V_REF,G0_D045_DENS_LOW_V_REF,MC,full_mohr_coulomb,G0,DENS_LOW,V_REF,0.45,11,24.4444444444,9,20,0.818181818182,30,0.5,1,50,50,0.02,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S050,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S050\MC_G0_D045_DENS_LOW_V_REF_S050.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S050\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S050\MC_G0_D045_DENS_LOW_V_REF_S050.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S050\MC_G0_D045_DENS_LOW_V_REF_S050.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_REF_S050.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_REF_S050.csv,planned
MC_G0_D045_DENS_LOW_V_REF_S100,MC_G0_D045_DENS_LOW_V_REF,G0_D045_DENS_LOW_V_REF,MC,full_mohr_coulomb,G0,DENS_LOW,V_REF,0.45,11,24.4444444444,9,20,0.818181818182,30,0.5,1,100,100,0.01,deformable_volume,Mohr-Coulomb,1.64,20000,0.25,27,5,0.1,0,uniform_from_ID,D=(e_max-e)/(e_max-e_min)*(1+e_min)/(1+e),0.49,0.76,false,0.669255251432,0.669255251432,0.669255251432,4,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S100,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S100\MC_G0_D045_DENS_LOW_V_REF_S100.inp,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S100\case_config.json,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S100\MC_G0_D045_DENS_LOW_V_REF_S100.odb,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\runs\MC_G0_D045_DENS_LOW_V_REF_S100\MC_G0_D045_DENS_LOW_V_REF_S100.sta,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\extracted\per_run_csv\mcm\MC_G0_D045_DENS_LOW_V_REF_S100.csv,D:\Publikationen\2024-03-MassScaling_Kouplung\ML residual correction\mgs_rigid_correction\data\processed\resampled_runs\MC_G0_D045_DENS_LOW_V_REF_S100.csv,planned
