scenario_id,ID,v_pen,S,depth,qb_fast,qs_fast,qb_ref,qs_ref,res_qb,res_qs,res_qb_norm,res_qs_norm,is_shallow
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,0.1,4.932957,7.097467,5.642311,7.01559,0.709354,-0.081877,0.054300395570712576,-0.00280622596498179,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,0.2,5.26859,7.71393,5.813513,7.318059,0.544923,-0.395872,0.0417133539186068,-0.013567989608916682,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,0.3,5.618242,8.515266,6.04625,7.679968,0.428008,-0.835298,0.03276361831670724,-0.028628735006135535,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,0.4,5.929416,8.860672,6.426391,8.174778,0.496975,-0.685894,0.038042978666159466,-0.023508110360970967,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,0.5,6.231975,9.215604,6.656426,8.292187,0.42445,-0.923417,0.032491256692693565,-0.0316488972715853,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,0.6,6.540703,9.646453,6.882445,8.376474,0.341741,-1.26998,0.026159958896024956,-0.04352688607310446,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,0.7,6.823985,10.011155,7.091329,8.508073,0.267343,-1.503082,0.020464860497101604,-0.051516149051586635,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,0.8,7.094523,10.353642,7.294689,8.651593,0.200165,-1.702049,0.015322446450448834,-0.05833548001845806,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,0.9,7.369433,10.66638,7.441959,8.369598,0.072526,-2.296781,0.00555179852254516,-0.07871913331065918,1
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.0,7.646074,10.945155,7.655249,8.365152,0.009176,-2.580002,0.0007024143513067644,-0.08842615877602926,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.1,7.944818,11.340328,7.878934,8.376421,-0.065884,-2.963907,-0.005043359538087932,-0.10158399527573411,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.2,8.234483,11.639622,8.12567,8.527477,-0.108813,-3.112145,-0.008329534961720024,-0.10666465681190386,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.3,8.515581,11.891184,8.329428,8.645598,-0.186152,-3.245586,-0.014249764202752487,-0.1112381707290373,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.4,8.743543,12.013663,8.530114,8.795238,-0.213429,-3.218425,-0.016337793437778053,-0.11030726335047103,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.5,8.970497,12.18636,8.801937,8.943441,-0.16856,-3.242919,-0.012903112800377965,-0.1111467628287893,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.6,9.272539,12.584672,8.984491,8.964361,-0.288048,-3.620312,-0.022049809183218274,-0.12408140913486272,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.7,9.832873,13.47185,9.493726,8.544261,-0.339147,-4.927589,-0.025961390584419704,-0.16888660059062563,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.8,10.419952,14.376697,9.931752,8.791752,-0.4882,-5.584945,-0.0373712604956367,-0.19141660871789665,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,1.9,11.001635,15.264749,10.419546,9.404106,-0.582089,-5.860643,-0.04455837699845283,-0.20086579330078985,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.0,11.575608,16.079546,10.871226,9.882024,-0.704381,-6.197522,-0.05391971699954338,-0.21241187580084606,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.1,12.155555,16.707521,11.402783,10.4618,-0.752772,-6.245721,-0.05762400349410371,-0.21406383282523822,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.2,12.681785,17.359668,11.83607,10.465831,-0.845715,-6.893837,-0.06473870456793812,-0.23627715216424844,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.3,13.164594,17.944796,12.268906,11.043633,-0.895687,-6.901162,-0.06856401515681146,-0.23652820685840542,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.4,13.583885,18.354085,12.664059,11.331811,-0.919827,-7.022274,-0.07041190993019258,-0.2406791605947523,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.5,14.079748,19.088205,13.030075,11.719453,-1.049674,-7.368751,-0.08035157822510643,-0.2525542018599305,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.6,14.527492,19.681843,13.412791,12.192609,-1.114702,-7.489233,-0.08532941175134623,-0.25668356317889596,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.7,14.981056,20.347711,13.80971,12.308783,-1.171346,-8.038928,-0.08966545779705463,-0.2755236328177526,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.8,15.405721,21.169569,14.212496,12.45094,-1.193226,-8.718629,-0.09134035165130397,-0.29881948628849636,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,2.9,15.768157,21.650325,14.738524,12.933261,-1.029633,-8.717064,-0.07881745812761963,-0.2987658479818267,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.0,16.162217,22.150751,15.171315,13.098029,-0.990901,-9.052722,-0.07585255918964955,-0.31027008232057696,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.1,16.562712,22.754879,15.943228,13.623938,-0.619484,-9.130941,-0.04742092981744983,-0.312950935170033,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.2,16.94871,23.130812,16.324775,13.768656,-0.623935,-9.362156,-0.04776164976924434,-0.3208755237174061,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.3,17.339056,23.304954,16.69483,13.888433,-0.644226,-9.416521,-0.0493149071365466,-0.32273881224270906,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.4,17.667376,23.899298,17.068909,13.914163,-0.598468,-9.985136,-0.04581217436768272,-0.342227339876576,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.5,18.123855,24.574005,17.494473,14.02111,-0.629382,-10.552895,-0.04817861260398365,-0.3616865292417468,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.6,18.589062,25.201119,17.844427,14.202228,-0.744635,-10.998891,-0.057001123636150015,-0.3769724527059434,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.7,18.982687,25.687931,18.153434,14.363688,-0.829253,-11.324243,-0.0634785536251295,-0.3881234625152763,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.8,19.404508,26.374348,18.581229,14.638928,-0.823278,-11.73542,-0.06302117287653992,-0.402216010771848,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.9,19.760005,26.82879,18.974965,15.213151,-0.78504,-11.615639,-0.060094089183725184,-0.39811067530142913,0
